name,value,year,lastValue,rank
Netflix,281,2008,0,1
Netflix,474,2009,281,1
Netflix,667,2010,474,1
Netflix,852,2011,667,1
Netflix,1089,2012,852,1
Netflix,1377,2013,1089,1
Netflix,1729,2014,1377,1
Netflix,2288,2015,1729,1
Netflix,3190,2016,2288,1
Netflix,4221,2017,3190,1
Netflix,5368,2018,4221,1
Netflix,6398,2019,5368,1
Netflix,7351,2020,6398,1
Netflix,7943,2021,7351,1
Hulu,43,2008,0,2        
Hulu,112,2009,43,2        
Hulu,183,2010,112,2
Hulu,264,2011,183,2
Hulu,378,2012,264,2
Hulu,491,2013,378,2
Hulu,604,2014,491,2
Hulu,745,2015,604,2
Hulu,886,2016,745,2
Hulu,1070,2017,886,2
Hulu,1291,2018,1070,2
Hulu,1609,2019,1291,2
Hulu,1893,2020,1609,2
Hulu,2059,2021,1893,2
Amazon Prime Video,521,2017,0,3
Amazon Prime Video,1083,2018,521,3
Amazon Prime Video,1706,2019,1083,3
Amazon Prime Video,2635,2020,1706,3
Amazon Prime Video,3597,2021,2635,3
Disney,99,2019,0,4
Disney,213,2020,99,4
Disney,338,2021,213,4
